epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.6139,1.53659,4.0669,1.25841,0.00995,0.23469,0.034,0.01783,1.41102,3.80022,1.17178,0.00025452,0.00025452,0.00025452
2,18.4505,1.35302,3.10418,1.13052,0.01922,0.34426,0.09136,0.05963,1.40252,3.53692,1.20268,0.000513001,0.000513001,0.000513001
3,22.37,1.30174,2.59893,1.1155,0.04543,0.38607,0.13391,0.0857,1.43191,3.20129,1.21561,0.000766262,0.000766262,0.000766262
4,26.1078,1.31451,2.38055,1.10758,0.7116,0.16153,0.23646,0.14933,1.39945,2.75594,1.2505,0.000882003,0.000882003,0.000882003
5,29.709,1.29378,2.25936,1.10469,0.68683,0.22355,0.30145,0.19251,1.41813,2.54262,1.26861,0.000873004,0.000873004,0.000873004
6,33.5332,1.26285,2.10718,1.09202,0.61251,0.31183,0.3088,0.20597,1.31024,2.21501,1.2041,0.000864004,0.000864004,0.000864004
7,37.2519,1.25493,2.02519,1.09123,0.50709,0.31532,0.30255,0.20194,1.40717,2.08379,1.22414,0.000855005,0.000855005,0.000855005
8,40.9708,1.23475,1.9305,1.07903,0.60654,0.35429,0.37194,0.24498,1.33969,2.03046,1.19562,0.000846006,0.000846006,0.000846006
9,44.6854,1.21249,1.85514,1.07009,0.40688,0.39319,0.36859,0.24811,1.39235,2.05356,1.22223,0.000837007,0.000837007,0.000837007
10,48.3483,1.22559,1.75383,1.06222,0.54406,0.35539,0.40331,0.26861,1.33166,1.92631,1.24103,0.000828008,0.000828008,0.000828008
11,51.9405,1.17235,1.68356,1.05022,0.37779,0.38192,0.39826,0.27468,1.35971,1.84502,1.22636,0.000819009,0.000819009,0.000819009
12,55.533,1.18825,1.65887,1.05588,0.5148,0.45082,0.4638,0.3181,1.31218,1.77416,1.1744,0.00081001,0.00081001,0.00081001
13,59.1768,1.19495,1.64324,1.05718,0.47236,0.40135,0.41158,0.27315,1.34994,1.76104,1.19948,0.000801011,0.000801011,0.000801011
14,62.8166,1.14202,1.54589,1.04612,0.49322,0.48663,0.47938,0.32847,1.28131,1.64536,1.17292,0.000792012,0.000792012,0.000792012
15,66.3136,1.1316,1.45753,1.03407,0.42138,0.50843,0.49013,0.33697,1.3249,1.55295,1.1942,0.000783013,0.000783013,0.000783013
16,70.0955,1.15897,1.50806,1.04316,0.55933,0.47805,0.47664,0.31275,1.35,1.81672,1.2092,0.000774013,0.000774013,0.000774013
17,73.7191,1.1444,1.45402,1.03371,0.547,0.47858,0.47941,0.32302,1.29329,1.68044,1.18622,0.000765014,0.000765014,0.000765014
18,77.317,1.13169,1.3848,1.0253,0.58549,0.48003,0.51767,0.35396,1.3214,1.57573,1.18146,0.000756015,0.000756015,0.000756015
19,81.0374,1.1144,1.35816,1.02388,0.58673,0.44983,0.50288,0.34866,1.26941,1.60064,1.16512,0.000747016,0.000747016,0.000747016
20,84.5833,1.11003,1.34447,1.02213,0.49709,0.46899,0.5071,0.34645,1.31027,1.53927,1.16817,0.000738017,0.000738017,0.000738017
21,88.0708,1.11211,1.32884,1.01896,0.57786,0.50007,0.51734,0.34846,1.23138,1.56437,1.15227,0.000729018,0.000729018,0.000729018
22,91.7186,1.06774,1.25724,1.01191,0.67513,0.51338,0.54781,0.37256,1.25347,1.54602,1.14144,0.000720019,0.000720019,0.000720019
23,95.4321,1.07394,1.21561,0.99628,0.55446,0.52403,0.50592,0.35753,1.2597,1.60389,1.15269,0.00071102,0.00071102,0.00071102
24,99.3372,1.07874,1.22173,1.00872,0.50011,0.5017,0.5173,0.35149,1.27408,1.50191,1.18457,0.000702021,0.000702021,0.000702021
25,103.016,1.049,1.16048,0.99831,0.55438,0.54184,0.53055,0.35178,1.27354,1.52089,1.17883,0.000693022,0.000693022,0.000693022
26,106.67,1.0455,1.14725,0.99814,0.65709,0.58558,0.5864,0.3917,1.30681,1.42176,1.15698,0.000684022,0.000684022,0.000684022
27,110.324,1.0718,1.14204,0.99844,0.59606,0.57644,0.56202,0.37649,1.27801,1.38348,1.16913,0.000675023,0.000675023,0.000675023
28,113.995,1.05787,1.10076,0.9897,0.68224,0.45819,0.55703,0.3948,1.24728,1.4799,1.15095,0.000666024,0.000666024,0.000666024
29,117.764,1.07245,1.12505,0.99813,0.66529,0.54068,0.60193,0.42487,1.23494,1.34445,1.11317,0.000657025,0.000657025,0.000657025
30,121.489,1.03768,1.06159,0.98661,0.59453,0.53961,0.55083,0.38488,1.25484,1.49866,1.14734,0.000648026,0.000648026,0.000648026
31,125.367,1.0125,1.03406,0.9776,0.65356,0.53993,0.56488,0.40484,1.21352,1.45385,1.13437,0.000639027,0.000639027,0.000639027
32,129.318,1.02146,1.06451,0.99021,0.62018,0.53949,0.566,0.39176,1.22513,1.53289,1.17511,0.000630028,0.000630028,0.000630028
33,133.205,1.0435,1.06829,0.98742,0.51334,0.54034,0.56146,0.37453,1.29646,1.53368,1.19345,0.000621029,0.000621029,0.000621029
34,136.874,1.02494,1.02279,0.97369,0.62331,0.53421,0.56183,0.37556,1.24416,1.43238,1.17841,0.00061203,0.00061203,0.00061203
35,140.607,1.02047,0.99967,0.98152,0.62391,0.54775,0.56152,0.38262,1.25118,1.37416,1.17437,0.000603031,0.000603031,0.000603031
36,144.287,1.01697,0.9772,0.96776,0.65658,0.52458,0.59994,0.42046,1.22824,1.38618,1.14666,0.000594031,0.000594031,0.000594031
37,147.993,0.97671,0.94722,0.96532,0.58561,0.56542,0.56829,0.40326,1.2315,1.44022,1.16095,0.000585032,0.000585032,0.000585032
38,151.659,1.00564,0.94576,0.97104,0.64591,0.57426,0.60285,0.43003,1.22078,1.35519,1.17434,0.000576033,0.000576033,0.000576033
