epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.08029,1.5405,3.88042,1.43004,0.0087,0.21322,0.06364,0.02946,1.44194,3.85613,1.37412,0.00025452,0.00025452,0.00025452
2,14.6874,1.34365,2.45378,1.26237,0.55449,0.30411,0.29267,0.16962,1.52316,2.25878,1.42811,0.000513001,0.000513001,0.000513001
3,20.1554,1.25664,1.9071,1.23076,0.635,0.36277,0.32,0.21265,1.47818,1.99616,1.47356,0.000766262,0.000766262,0.000766262
4,25.6466,1.23931,1.66594,1.20468,0.51068,0.38403,0.39483,0.27074,1.36187,1.85853,1.39212,0.000882003,0.000882003,0.000882003
5,30.9563,1.17035,1.4883,1.1734,0.65143,0.46836,0.46244,0.28782,1.41085,1.69322,1.38248,0.000873004,0.000873004,0.000873004
6,36.1691,1.13603,1.39314,1.14338,0.75786,0.43144,0.50814,0.33863,1.25787,1.63045,1.31844,0.000864004,0.000864004,0.000864004
7,41.3246,1.11856,1.33346,1.14535,0.69791,0.46734,0.49759,0.32382,1.26771,1.55485,1.29843,0.000855005,0.000855005,0.000855005
8,46.5692,1.09004,1.2449,1.12388,0.60021,0.5337,0.53761,0.36314,1.28307,1.55807,1.32116,0.000846006,0.000846006,0.000846006
9,52.0824,1.05577,1.21252,1.11224,0.73759,0.52816,0.57793,0.39069,1.19003,1.2993,1.25182,0.000837007,0.000837007,0.000837007
10,57.4045,1.05881,1.1582,1.09104,0.64715,0.5246,0.55359,0.37216,1.22262,1.36216,1.281,0.000828008,0.000828008,0.000828008
11,62.7178,1.02455,1.11195,1.08963,0.67196,0.48588,0.52111,0.34628,1.21981,1.5363,1.29963,0.000819009,0.000819009,0.000819009
12,68.2859,1.01336,1.09415,1.08247,0.75418,0.46823,0.5443,0.36787,1.25502,1.45038,1.29152,0.00081001,0.00081001,0.00081001
13,73.6398,1.03296,1.09982,1.08906,0.65069,0.54971,0.58864,0.41139,1.15862,1.27403,1.21977,0.000801011,0.000801011,0.000801011
14,79.042,0.98603,1.03497,1.07282,0.64724,0.59503,0.62243,0.42743,1.17698,1.19377,1.23141,0.000792012,0.000792012,0.000792012
15,84.3832,0.96624,0.98543,1.05368,0.72313,0.54729,0.64543,0.44108,1.18204,1.19671,1.22693,0.000783013,0.000783013,0.000783013
16,89.9236,0.98702,1.02666,1.07218,0.65658,0.50953,0.56693,0.38747,1.2209,1.52319,1.2818,0.000774013,0.000774013,0.000774013
17,95.2528,0.97902,0.99606,1.06306,0.64576,0.61586,0.61357,0.42397,1.13413,1.20778,1.21766,0.000765014,0.000765014,0.000765014
18,100.55,0.96252,0.96088,1.04667,0.62687,0.6208,0.64768,0.45508,1.13392,1.13135,1.20742,0.000756015,0.000756015,0.000756015
19,105.964,0.94268,0.94062,1.04219,0.64605,0.62643,0.64013,0.42862,1.13908,1.19798,1.21021,0.000747016,0.000747016,0.000747016
20,111.33,0.9332,0.94847,1.04138,0.6278,0.58521,0.60587,0.42181,1.15998,1.18351,1.21858,0.000738017,0.000738017,0.000738017
21,116.578,0.94249,0.92963,1.03944,0.69758,0.62843,0.66144,0.46036,1.12219,1.12558,1.19592,0.000729018,0.000729018,0.000729018
22,121.894,0.89848,0.88425,1.02448,0.62221,0.60209,0.60947,0.42357,1.11014,1.22128,1.19924,0.000720019,0.000720019,0.000720019
23,127.342,0.90873,0.87369,1.02175,0.68508,0.57363,0.62871,0.44019,1.10825,1.11867,1.19428,0.00071102,0.00071102,0.00071102
24,132.688,0.91741,0.87458,1.02904,0.72963,0.58783,0.64906,0.43114,1.15779,1.16121,1.2239,0.000702021,0.000702021,0.000702021
25,138.024,0.88191,0.83502,1.01593,0.81328,0.57216,0.66081,0.45913,1.09929,1.07624,1.1687,0.000693022,0.000693022,0.000693022
26,143.629,0.8733,0.83216,1.01227,0.71093,0.54978,0.61698,0.43169,1.11193,1.22911,1.2007,0.000684022,0.000684022,0.000684022
27,148.986,0.8921,0.84014,1.01769,0.69616,0.58132,0.65143,0.45855,1.07587,1.13724,1.18058,0.000675023,0.000675023,0.000675023
28,154.331,0.88876,0.81495,1.00957,0.70938,0.6208,0.66104,0.46659,1.10861,1.12458,1.19162,0.000666024,0.000666024,0.000666024
29,159.633,0.90322,0.85506,1.01706,0.74722,0.57649,0.66463,0.46745,1.0639,1.04808,1.16286,0.000657025,0.000657025,0.000657025
30,165.144,0.86924,0.78384,1.00285,0.70623,0.57328,0.62961,0.45157,1.10865,1.12152,1.20544,0.000648026,0.000648026,0.000648026
31,170.469,0.85693,0.76347,0.99157,0.73453,0.6477,0.68413,0.48622,1.08914,1.04005,1.18892,0.000639027,0.000639027,0.000639027
32,175.926,0.85523,0.77005,0.99928,0.75071,0.66194,0.70866,0.49262,1.05517,1.06567,1.17106,0.000630028,0.000630028,0.000630028
33,181.372,0.8614,0.77543,0.99779,0.76143,0.59741,0.6627,0.44991,1.10776,1.16136,1.19882,0.000621029,0.000621029,0.000621029
34,186.718,0.84078,0.76174,0.98614,0.66153,0.55762,0.60813,0.43102,1.09618,1.12989,1.19634,0.00061203,0.00061203,0.00061203
35,192.062,0.858,0.76218,0.99935,0.71955,0.61574,0.67238,0.4706,1.07207,1.07426,1.18703,0.000603031,0.000603031,0.000603031
36,197.523,0.83639,0.73816,0.98039,0.72795,0.64332,0.68526,0.473,1.07951,1.04474,1.18257,0.000594031,0.000594031,0.000594031
37,202.887,0.82915,0.72146,0.98117,0.65269,0.62604,0.64901,0.45724,1.07583,1.08949,1.18658,0.000585032,0.000585032,0.000585032
38,208.14,0.8397,0.73169,0.98347,0.65126,0.6693,0.67316,0.46616,1.06431,1.05683,1.1729,0.000576033,0.000576033,0.000576033
39,213.527,0.80837,0.70538,0.97519,0.73179,0.61059,0.65185,0.47143,1.07659,1.05807,1.19323,0.000567034,0.000567034,0.000567034
40,219.054,0.82512,0.71281,0.98249,0.76798,0.58361,0.64751,0.46314,1.08676,1.13745,1.18441,0.000558035,0.000558035,0.000558035
41,224.292,0.836,0.73672,0.99122,0.65483,0.67673,0.64151,0.45583,1.03933,1.07534,1.16194,0.000549036,0.000549036,0.000549036
42,229.673,0.81897,0.74046,0.98862,0.76953,0.60239,0.68417,0.47304,1.05435,1.02887,1.17305,0.000540037,0.000540037,0.000540037
