epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,9.60616,1.5985,3.39655,3.84141,1.38093,0,0.017,0.2833,0.0873,0.0424,0.0141,0.23232,0.07355,0.02704,1.44027,3.24337,3.79985,1.2761,0,0.00025452,0.00025452,0.00025452
2,13.3678,1.41015,2.67869,2.43487,1.20363,0,0.85662,0.12654,0.28376,0.1659,0.83564,0.11801,0.24832,0.13446,1.52043,2.68485,3.07174,1.38159,0,0.000513001,0.000513001,0.000513001
3,17.1081,1.3081,2.37763,1.83615,1.18811,0,0.62166,0.22405,0.30858,0.18254,0.60181,0.20152,0.28232,0.16112,1.59558,2.72252,2.74004,1.43094,0,0.000766262,0.000766262,0.000766262
4,20.8846,1.26423,2.30626,1.60532,1.15812,0,0.49393,0.3605,0.35398,0.21096,0.49044,0.34687,0.33326,0.16838,1.59524,2.8823,2.27587,1.45066,0,0.000882003,0.000882003,0.000882003
5,24.8369,1.21706,2.23466,1.46767,1.1448,0,0.70658,0.32854,0.37736,0.22529,0.6799,0.29617,0.33586,0.1811,1.52334,2.60342,2.25331,1.42131,0,0.000873004,0.000873004,0.000873004
6,28.6048,1.1856,2.12052,1.36948,1.11862,0,0.64888,0.46257,0.48891,0.29406,0.56625,0.44344,0.46309,0.24655,1.45971,2.36467,1.91953,1.33946,0,0.000864004,0.000864004,0.000864004
7,32.3396,1.14514,2.07059,1.29959,1.10341,0,0.52829,0.53082,0.53704,0.34382,0.7286,0.45906,0.52512,0.27239,1.33384,2.27438,1.54894,1.25781,0,0.000855005,0.000855005,0.000855005
8,36.0252,1.12047,2.01,1.23661,1.08954,0,0.69033,0.47046,0.51897,0.31943,0.65248,0.45899,0.48753,0.26432,1.39649,2.3816,1.82122,1.30758,0,0.000846006,0.000846006,0.000846006
9,39.8304,1.10153,1.92303,1.21947,1.08915,0,0.74565,0.4631,0.54902,0.34676,0.71021,0.4745,0.54082,0.2844,1.32083,2.27777,1.55664,1.29678,0,0.000837007,0.000837007,0.000837007
10,43.7984,1.0864,1.96664,1.17937,1.06446,0,0.66307,0.44871,0.51054,0.33193,0.65004,0.41527,0.48645,0.26322,1.34766,2.33704,1.83178,1.33148,0,0.000828008,0.000828008,0.000828008
11,47.7418,1.05197,1.89112,1.12811,1.05833,0,0.67733,0.50649,0.57334,0.36001,0.70553,0.47535,0.54285,0.28425,1.33422,2.23244,1.52446,1.29399,0,0.000819009,0.000819009,0.000819009
12,51.4527,1.04781,1.84387,1.11627,1.05089,0,0.74796,0.4921,0.57538,0.37517,0.72566,0.47608,0.54297,0.31857,1.34186,2.10165,1.51361,1.26238,0,0.00081001,0.00081001,0.00081001
13,55.3334,1.0522,1.85605,1.12047,1.05647,0,0.74703,0.54388,0.58755,0.39836,0.72891,0.53712,0.57743,0.32315,1.22248,2.16033,1.35403,1.20626,0,0.000801011,0.000801011,0.000801011
14,59.0695,1.02153,1.77555,1.05566,1.04776,0,0.65244,0.56963,0.59484,0.40223,0.64684,0.56297,0.57599,0.30089,1.23544,2.16933,1.28388,1.18454,0,0.000792012,0.000792012,0.000792012
15,62.865,0.99695,1.74678,1.02957,1.02999,0,0.79086,0.54388,0.65156,0.42579,0.78967,0.53303,0.6198,0.36029,1.21813,2.1384,1.21869,1.20309,0,0.000783013,0.000783013,0.000783013
16,66.6843,1.01371,1.75647,1.03944,1.03904,0,0.68766,0.54709,0.62589,0.41699,0.6861,0.5449,0.62002,0.34792,1.25053,2.07087,1.30806,1.23566,0,0.000774013,0.000774013,0.000774013
17,70.5701,1.00914,1.74568,1.01233,1.02948,0,0.77181,0.55481,0.651,0.42374,0.76684,0.54411,0.62609,0.34783,1.2296,2.15025,1.23956,1.21866,0,0.000765014,0.000765014,0.000765014
18,74.4088,0.99436,1.70425,0.97991,1.02198,0,0.70394,0.58805,0.65741,0.44159,0.66839,0.55653,0.62144,0.34699,1.1918,2.05952,1.16841,1.18577,0,0.000756015,0.000756015,0.000756015
19,78.3597,0.96816,1.67442,0.95535,1.01579,0,0.69691,0.59479,0.67572,0.46081,0.68736,0.58837,0.65547,0.36572,1.20321,1.90936,1.20924,1.19292,0,0.000747016,0.000747016,0.000747016
20,82.1334,0.95733,1.69514,0.9588,1.01039,0,0.71562,0.59462,0.6638,0.43492,0.68751,0.59354,0.63494,0.35776,1.21917,1.97225,1.207,1.23918,0,0.000738017,0.000738017,0.000738017
21,85.9697,0.96887,1.66116,0.95421,1.01321,0,0.70418,0.61864,0.68546,0.45982,0.66714,0.60176,0.65019,0.37373,1.13096,1.89404,1.11445,1.1657,0,0.000729018,0.000729018,0.000729018
22,89.7192,0.92902,1.602,0.91703,1.0034,0,0.70369,0.65566,0.68881,0.45325,0.70071,0.65086,0.6641,0.38335,1.18207,1.90134,1.13283,1.19142,0,0.000720019,0.000720019,0.000720019
23,93.4565,0.93859,1.60968,0.89801,0.9949,0,0.66836,0.60239,0.64776,0.42979,0.672,0.58526,0.62846,0.35493,1.23739,2.03379,1.18435,1.20107,0,0.00071102,0.00071102,0.00071102
24,97.062,0.93583,1.60409,0.89955,1.00073,0,0.73203,0.58352,0.65373,0.43331,0.70706,0.59072,0.63527,0.37059,1.21691,1.94305,1.1639,1.20642,0,0.000702021,0.000702021,0.000702021
25,100.826,0.90829,1.56387,0.86632,0.98766,0,0.73041,0.5815,0.65957,0.43516,0.7219,0.59135,0.6585,0.36228,1.19615,2.02656,1.13876,1.19978,0,0.000693022,0.000693022,0.000693022
26,104.659,0.89915,1.53553,0.86549,0.98698,0,0.7608,0.62132,0.65645,0.44518,0.76344,0.61927,0.64768,0.34978,1.18736,2.13787,1.17008,1.19197,0,0.000684022,0.000684022,0.000684022
27,108.313,0.92114,1.58114,0.86442,0.99231,0,0.7544,0.61215,0.67645,0.45338,0.72966,0.60137,0.66172,0.37952,1.15584,1.94138,1.13089,1.17162,0,0.000675023,0.000675023,0.000675023
28,112.116,0.91066,1.55963,0.84421,0.98331,0,0.714,0.62424,0.67475,0.46457,0.72005,0.62107,0.67406,0.39326,1.17961,1.91876,1.13337,1.18391,0,0.000666024,0.000666024,0.000666024
29,115.714,0.91436,1.58769,0.85697,0.98822,0,0.66043,0.66492,0.6654,0.45922,0.65253,0.6549,0.65454,0.38305,1.15473,1.97755,1.12372,1.17202,0,0.000657025,0.000657025,0.000657025
30,119.59,0.90137,1.51581,0.81429,0.97716,0,0.66365,0.62569,0.65663,0.44774,0.65695,0.62024,0.6443,0.37151,1.16492,1.98431,1.13724,1.15833,0,0.000648026,0.000648026,0.000648026
31,123.221,0.87884,1.49629,0.79793,0.97068,0,0.68187,0.61019,0.64354,0.4519,0.61863,0.65928,0.63595,0.372,1.11236,2.00373,1.13958,1.1516,0,0.000639027,0.000639027,0.000639027
32,126.993,0.88892,1.50096,0.80672,0.97773,0,0.61895,0.63299,0.64885,0.43666,0.61356,0.62315,0.62702,0.35912,1.13654,1.93554,1.19703,1.15782,0,0.000630028,0.000630028,0.000630028
33,130.895,0.89026,1.52378,0.81337,0.97425,0,0.73741,0.57564,0.65163,0.44022,0.72416,0.56733,0.6258,0.36882,1.11177,1.94802,1.20419,1.14571,0,0.000621029,0.000621029,0.000621029
34,134.735,0.87209,1.48607,0.79628,0.96577,0,0.69205,0.6063,0.65407,0.45106,0.69262,0.55324,0.6292,0.36718,1.11865,1.93285,1.10292,1.16593,0,0.00061203,0.00061203,0.00061203
35,138.396,0.88,1.47463,0.79579,0.97222,0,0.69171,0.61863,0.66203,0.43599,0.6769,0.60678,0.64342,0.37555,1.17154,1.97637,1.1456,1.18587,0,0.000603031,0.000603031,0.000603031
36,142.086,0.86327,1.46173,0.78014,0.95864,0,0.70701,0.63072,0.67074,0.4618,0.69604,0.63763,0.65901,0.37859,1.13515,1.90797,1.11687,1.16187,0,0.000594031,0.000594031,0.000594031
37,145.926,0.85,1.41994,0.75389,0.96104,0,0.68959,0.6024,0.65817,0.43359,0.67168,0.59122,0.63321,0.35735,1.18161,1.93257,1.17576,1.16517,0,0.000585032,0.000585032,0.000585032
38,149.671,0.85815,1.44626,0.75268,0.96137,0,0.74757,0.60274,0.6793,0.45965,0.74244,0.59433,0.66412,0.38089,1.13818,1.86638,1.08409,1.15468,0,0.000576033,0.000576033,0.000576033
39,153.378,0.83292,1.3982,0.73906,0.95463,0,0.65226,0.68608,0.67685,0.46272,0.64375,0.66846,0.65671,0.39622,1.13129,1.91816,1.08292,1.15738,0,0.000567034,0.000567034,0.000567034
40,157.344,0.85273,1.39683,0.74682,0.9617,0,0.72473,0.6245,0.70157,0.48419,0.77917,0.60557,0.68574,0.41199,1.10929,1.798,1.10667,1.15382,0,0.000558035,0.000558035,0.000558035
41,161.188,0.85471,1.43312,0.75583,0.96564,0,0.68003,0.63729,0.68125,0.44968,0.67596,0.62362,0.66233,0.3894,1.13521,1.82131,1.10662,1.18702,0,0.000549036,0.000549036,0.000549036
42,164.879,0.84775,1.40654,0.76141,0.96614,0,0.63294,0.68562,0.67296,0.44189,0.62384,0.67454,0.65035,0.37435,1.15756,1.90878,1.14298,1.20089,0,0.000540037,0.000540037,0.000540037
