epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,19.0257,1.36829,2.758,2.12274,1.35197,0,0.28504,0.52839,0.30389,0.19561,0.30002,0.44089,0.28212,0.15609,1.42332,3.46095,8.75134,1.50259,0,0.000297776,0.000297776,0.000297776
2,28.7897,1.24284,2.30564,1.43561,1.24687,0,0.42088,0.36632,0.25167,0.14698,0.36862,0.31558,0.23737,0.12029,1.61273,3.66243,3.45027,1.64183,0,0.000594828,0.000594828,0.000594828
3,38.3689,1.24356,2.26418,1.39325,1.23988,0,0.50979,0.38715,0.28439,0.18553,0.52508,0.35525,0.28402,0.15119,1.57607,3.7505,3.9473,1.54505,0,0.000885881,0.000885881,0.000885881
4,47.7907,1.23479,2.28081,1.27562,1.23415,0,0.64688,0.41604,0.46395,0.28971,0.50481,0.41616,0.44145,0.24236,1.42344,2.7596,1.89788,1.51564,0,0.000882003,0.000882003,0.000882003
5,57.5717,1.17795,2.13448,1.14966,1.18746,0,0.70053,0.46547,0.50635,0.33491,0.69982,0.45251,0.48669,0.26291,1.34298,2.23731,1.40046,1.43072,0,0.000873004,0.000873004,0.000873004
6,67.5649,1.10352,1.97968,1.07935,1.14877,0,0.62538,0.53228,0.55243,0.34596,0.56759,0.48103,0.49304,0.30073,1.30945,2.47164,1.46985,1.36179,0,0.000864004,0.000864004,0.000864004
7,77.5006,1.12133,1.95329,1.07401,1.16429,0,0.64509,0.5569,0.60449,0.38877,0.67153,0.51624,0.57689,0.34425,1.30668,2.10977,1.24462,1.34236,0,0.000855005,0.000855005,0.000855005
8,87.0716,1.05834,1.85733,1.03324,1.14975,0,0.59986,0.62757,0.59791,0.38614,0.59322,0.61642,0.58077,0.32565,1.2564,2.00967,1.17923,1.35205,0,0.000846006,0.000846006,0.000846006
9,96.4711,1.05081,1.85258,0.98218,1.13709,0,0.6854,0.56823,0.63551,0.4157,0.68046,0.55065,0.60552,0.33647,1.23741,2.19505,1.33005,1.31574,0,0.000837007,0.000837007,0.000837007
10,106.219,1.05877,1.80471,0.97266,1.12693,0,0.64807,0.54474,0.58722,0.38777,0.62364,0.52193,0.56799,0.31432,1.27921,2.09938,1.14888,1.30794,0,0.000828008,0.000828008,0.000828008
11,115.74,1.00818,1.70099,0.88773,1.09568,0,0.68699,0.59953,0.67775,0.43884,0.68979,0.60132,0.65195,0.37068,1.20151,2.04611,1.07126,1.2688,0,0.000819009,0.000819009,0.000819009
12,125.481,0.94746,1.63251,0.8502,1.07057,0,0.72043,0.61426,0.68415,0.45786,0.71526,0.61109,0.66713,0.3808,1.16792,1.88092,1.07743,1.26393,0,0.00081001,0.00081001,0.00081001
13,135.091,0.95871,1.62844,0.87287,1.07826,0,0.68657,0.59139,0.66364,0.44074,0.69246,0.56838,0.63789,0.38642,1.18105,2.09733,1.09027,1.25732,0,0.000801011,0.000801011,0.000801011
14,144.592,0.9315,1.5994,0.86379,1.07254,0,0.70213,0.62481,0.66405,0.44305,0.71538,0.58935,0.6396,0.36959,1.17088,1.92566,1.04567,1.24726,0,0.000792012,0.000792012,0.000792012
15,153.877,0.94849,1.56716,0.84489,1.07991,0,0.66464,0.60433,0.62481,0.42006,0.65662,0.64837,0.65992,0.37143,1.19105,1.95197,1.03391,1.29201,0,0.000783013,0.000783013,0.000783013
16,163.123,0.912,1.55445,0.81033,1.06059,0,0.7778,0.56365,0.63733,0.44875,0.77405,0.561,0.63282,0.37811,1.15061,1.98527,1.0722,1.24112,0,0.000774013,0.000774013,0.000774013
17,172.944,0.90059,1.52618,0.77439,1.03703,0,0.71337,0.61361,0.66387,0.44709,0.70087,0.60942,0.65956,0.38177,1.12826,1.81337,0.99194,1.24518,0,0.000765014,0.000765014,0.000765014
18,182.367,0.89725,1.50611,0.76481,1.03417,0,0.74926,0.67734,0.71183,0.47379,0.76174,0.63588,0.6857,0.41437,1.14284,1.92831,1.01502,1.25973,0,0.000756015,0.000756015,0.000756015
19,192.03,0.89404,1.46366,0.73158,1.03203,0,0.78673,0.63681,0.72266,0.49245,0.79081,0.61835,0.70253,0.42145,1.11876,1.85349,0.94629,1.22253,0,0.000747016,0.000747016,0.000747016
20,201.626,0.85582,1.4161,0.70935,1.03324,0,0.82404,0.60527,0.68501,0.45988,0.74917,0.62375,0.66183,0.38518,1.09425,1.88603,1.02064,1.2376,0,0.000738017,0.000738017,0.000738017
21,211.054,0.84379,1.4109,0.70001,1.01684,0,0.78419,0.62828,0.70688,0.47961,0.77279,0.61396,0.68055,0.40757,1.11876,1.7453,0.94668,1.24489,0,0.000729018,0.000729018,0.000729018
22,220.473,0.84538,1.41207,0.70334,1.00931,0,0.68538,0.61578,0.66095,0.46637,0.68262,0.61118,0.64463,0.38625,1.1048,1.83818,1.02873,1.22763,0,0.000720019,0.000720019,0.000720019
23,230.195,0.80057,1.31083,0.6817,1.00196,0,0.66425,0.69108,0.72557,0.50851,0.7495,0.60257,0.69877,0.41319,1.07255,1.85542,0.94053,1.2327,0,0.00071102,0.00071102,0.00071102
24,239.975,0.82401,1.33796,0.67954,1.00691,0,0.74806,0.60428,0.65316,0.45025,0.74321,0.59551,0.63217,0.38226,1.1087,1.84993,1.02359,1.23864,0,0.000702021,0.000702021,0.000702021
25,249.623,0.79339,1.28433,0.64576,0.98985,0,0.69879,0.70392,0.70151,0.4738,0.68922,0.67353,0.67952,0.40162,1.07108,1.82507,0.94758,1.22137,0,0.000693022,0.000693022,0.000693022
26,259.248,0.78165,1.3082,0.64626,0.98234,0,0.74721,0.66643,0.71058,0.47758,0.76852,0.64799,0.68113,0.41371,1.11572,1.82544,0.95144,1.25552,0,0.000684022,0.000684022,0.000684022
27,268.887,0.78392,1.29527,0.65991,0.9904,0,0.71448,0.65948,0.70104,0.49101,0.70317,0.64795,0.67452,0.40056,1.02727,1.88306,0.91987,1.22193,0,0.000675023,0.000675023,0.000675023
28,278.641,0.77885,1.27915,0.62726,0.97907,0,0.69519,0.6386,0.69045,0.47,0.80268,0.56043,0.66329,0.39979,1.09145,1.87128,0.97143,1.2378,0,0.000666024,0.000666024,0.000666024
29,288.321,0.7724,1.24326,0.63938,0.97691,0,0.71957,0.67345,0.69465,0.47487,0.72228,0.62426,0.65239,0.39478,1.03566,1.803,0.9499,1.20577,0,0.000657025,0.000657025,0.000657025
30,297.788,0.76757,1.2356,0.62228,0.97962,0,0.67289,0.70054,0.71778,0.50191,0.65753,0.68508,0.68552,0.42347,1.01111,1.71568,0.96323,1.19061,0,0.000648026,0.000648026,0.000648026
31,307.619,0.7488,1.20739,0.58011,0.96393,0,0.74124,0.59042,0.65422,0.45533,0.73392,0.55115,0.62985,0.38289,1.07302,1.77795,1.04399,1.2261,0,0.000639027,0.000639027,0.000639027
32,317.205,0.7394,1.19519,0.58052,0.96693,0,0.70944,0.70629,0.71447,0.48904,0.70144,0.69794,0.69504,0.42502,1.09563,1.79173,1.01561,1.26396,0,0.000630028,0.000630028,0.000630028
33,326.876,0.73426,1.17174,0.56766,0.95817,0,0.69649,0.74629,0.74705,0.51257,0.72055,0.69391,0.7297,0.42957,1.03047,1.68794,0.92016,1.21679,0,0.000621029,0.000621029,0.000621029
34,336.68,0.72223,1.15468,0.55978,0.9527,0,0.73183,0.64674,0.70186,0.49308,0.71854,0.63522,0.6723,0.4166,1.01128,1.84645,0.92579,1.19731,0,0.00061203,0.00061203,0.00061203
35,346.396,0.71872,1.16633,0.55414,0.9584,0,0.70016,0.6469,0.69045,0.48316,0.70457,0.64331,0.67833,0.41044,1.00751,1.73931,0.9387,1.19347,0,0.000603031,0.000603031,0.000603031
36,355.921,0.71549,1.17894,0.54933,0.94869,0,0.72429,0.70672,0.71353,0.49949,0.72028,0.70506,0.70272,0.42987,1.0178,1.75346,0.92486,1.19775,0,0.000594031,0.000594031,0.000594031
37,365.597,0.70995,1.12396,0.54535,0.95139,0,0.74189,0.68068,0.71355,0.5003,0.73121,0.66914,0.7038,0.42245,0.99433,1.67548,0.99876,1.20018,0,0.000585032,0.000585032,0.000585032
38,375.25,0.70111,1.10058,0.53592,0.94448,0,0.71711,0.67846,0.70653,0.49586,0.74178,0.62774,0.67888,0.41344,1.00926,1.80461,0.99711,1.21349,0,0.000576033,0.000576033,0.000576033
39,384.874,0.69322,1.09187,0.53002,0.94283,0,0.76591,0.6716,0.74015,0.51964,0.79499,0.63886,0.72055,0.43745,1.01187,1.66273,0.90427,1.20305,0,0.000567034,0.000567034,0.000567034
40,394.826,0.6873,1.07154,0.52073,0.93985,0,0.73042,0.70278,0.71773,0.50707,0.7227,0.68146,0.70533,0.43316,1.01192,1.73677,0.98586,1.19105,0,0.000558035,0.000558035,0.000558035
41,404.612,0.69561,1.09237,0.52846,0.9464,0,0.7459,0.67541,0.69915,0.49394,0.7351,0.64287,0.66334,0.40343,1.00892,1.73266,1.01299,1.20187,0,0.000549036,0.000549036,0.000549036
42,414.148,0.6805,1.04502,0.5151,0.95014,0,0.69539,0.68024,0.69768,0.49532,0.67318,0.66479,0.66264,0.41345,0.96416,1.69994,0.93001,1.18606,0,0.000540037,0.000540037,0.000540037
43,423.716,0.67991,1.07332,0.51057,0.93673,0,0.7033,0.68552,0.69478,0.48483,0.68678,0.67083,0.66588,0.40378,1.0102,1.7305,0.9749,1.23062,0,0.000531038,0.000531038,0.000531038
44,433.302,0.68078,1.07323,0.49479,0.94017,0,0.73521,0.7269,0.73226,0.52514,0.73724,0.72801,0.72708,0.44128,0.95352,1.65571,0.88262,1.16207,0,0.000522039,0.000522039,0.000522039
45,443.139,0.67124,1.06316,0.50746,0.93436,0,0.78398,0.63639,0.71174,0.50927,0.77861,0.63362,0.68796,0.40998,0.9823,1.70817,0.93284,1.19832,0,0.00051304,0.00051304,0.00051304
46,453.193,0.65609,1.0286,0.48853,0.92755,0,0.75692,0.62233,0.67226,0.46477,0.75014,0.58241,0.63686,0.38942,0.9803,1.75998,0.98332,1.19895,0,0.00050404,0.00050404,0.00050404
47,462.917,0.65072,1.01906,0.48275,0.92794,0,0.74642,0.73852,0.7586,0.54092,0.71933,0.72302,0.72474,0.44619,0.9619,1.72447,0.90859,1.19639,0,0.000495041,0.000495041,0.000495041
48,472.777,0.64205,1.00258,0.46868,0.91713,0,0.75026,0.68827,0.70843,0.49907,0.73382,0.69119,0.70848,0.41911,0.93142,1.76623,0.96351,1.16409,0,0.000486042,0.000486042,0.000486042
49,482.458,0.64323,0.99717,0.47477,0.92689,0,0.69937,0.69696,0.68676,0.49592,0.68433,0.67933,0.6579,0.41458,0.98279,1.72656,0.94938,1.21212,0,0.000477043,0.000477043,0.000477043
50,492.093,0.6456,1.0177,0.47439,0.92751,0,0.73318,0.66707,0.72043,0.48954,0.71832,0.65886,0.70283,0.41441,0.97209,1.79358,0.96414,1.17121,0,0.000468044,0.000468044,0.000468044
51,501.579,0.63241,0.97725,0.45421,0.91702,0,0.76752,0.73377,0.73607,0.51473,0.74711,0.68548,0.70111,0.42748,0.98984,1.77115,0.92008,1.2041,0,0.000459045,0.000459045,0.000459045
52,511.177,0.62648,0.96746,0.45652,0.91638,0,0.72953,0.71504,0.7146,0.51838,0.7563,0.65334,0.68955,0.42348,0.9582,1.71215,0.90482,1.19262,0,0.000450046,0.000450046,0.000450046
53,520.941,0.62102,0.94945,0.44537,0.91456,0,0.72441,0.69523,0.71587,0.50792,0.7004,0.68426,0.69255,0.44015,0.95452,1.76501,0.93426,1.18239,0,0.000441047,0.000441047,0.000441047
54,530.639,0.62837,0.96874,0.4404,0.91011,0,0.7026,0.69602,0.6775,0.4818,0.67093,0.66872,0.65137,0.39913,0.98983,1.74027,0.98023,1.21726,0,0.000432048,0.000432048,0.000432048
55,540.113,0.62518,0.9635,0.43723,0.91556,0,0.75422,0.6873,0.70691,0.53767,0.7705,0.67821,0.71028,0.44136,0.91493,1.74607,0.87181,1.16964,0,0.000423049,0.000423049,0.000423049
56,549.573,0.61396,0.96118,0.43778,0.90031,0,0.68539,0.6873,0.69033,0.50188,0.72306,0.63082,0.67343,0.41607,0.92464,1.71614,0.96121,1.15025,0,0.000414049,0.000414049,0.000414049
57,559.318,0.59286,0.92676,0.42983,0.89859,0,0.81177,0.67113,0.73141,0.52541,0.80192,0.65928,0.71354,0.43693,0.92132,1.72562,0.90147,1.14832,0,0.00040505,0.00040505,0.00040505
58,568.874,0.60905,0.94354,0.44699,0.91513,0,0.70486,0.69913,0.70173,0.50451,0.67467,0.67745,0.6656,0.40896,0.95732,1.7926,0.94075,1.16818,0,0.000396051,0.000396051,0.000396051
59,578.634,0.59269,0.91788,0.42504,0.90245,0,0.73452,0.65758,0.69281,0.5004,0.70939,0.64061,0.66197,0.4112,0.9497,1.80993,1.03215,1.17004,0,0.000387052,0.000387052,0.000387052
60,588.154,0.59496,0.90245,0.42525,0.90063,0,0.72986,0.67396,0.71624,0.51341,0.73275,0.62768,0.67481,0.41652,0.94663,1.78808,0.95438,1.18242,0,0.000378053,0.000378053,0.000378053
61,597.84,0.58723,0.90469,0.42544,0.89597,0,0.7059,0.68613,0.70399,0.51224,0.697,0.66616,0.67235,0.41978,0.94146,1.81692,0.92609,1.15915,0,0.000369054,0.000369054,0.000369054
62,608.126,0.5743,0.88971,0.42033,0.8957,0,0.77604,0.62126,0.71322,0.51163,0.75586,0.60646,0.69391,0.41009,0.93792,1.76622,0.94917,1.16719,0,0.000360055,0.000360055,0.000360055
63,618.589,0.57401,0.87706,0.4111,0.89858,0,0.7178,0.66367,0.68525,0.48794,0.71212,0.6557,0.70258,0.41368,0.93584,1.73088,1.00134,1.16537,0,0.000351056,0.000351056,0.000351056
64,628.419,0.58215,0.90803,0.40859,0.89239,0,0.73427,0.62915,0.67568,0.48952,0.72901,0.62679,0.66812,0.41563,0.96168,1.8131,1.00263,1.1784,0,0.000342057,0.000342057,0.000342057
65,638.99,0.5711,0.88124,0.3925,0.89326,0,0.76971,0.62779,0.69365,0.49532,0.74742,0.6105,0.66633,0.41805,0.95596,1.74155,0.95396,1.18505,0,0.000333058,0.000333058,0.000333058
66,649.431,0.56979,0.88334,0.3971,0.89521,0,0.72032,0.66071,0.67876,0.48711,0.7162,0.65784,0.65921,0.41561,0.96093,1.81254,1.01448,1.18813,0,0.000324058,0.000324058,0.000324058
67,660.443,0.5641,0.86199,0.39648,0.89087,0,0.73369,0.63769,0.65671,0.48655,0.74179,0.62029,0.65002,0.40384,0.92393,1.77148,0.98125,1.1705,0,0.000315059,0.000315059,0.000315059
68,671.28,0.55748,0.85704,0.40058,0.89285,0,0.74412,0.64374,0.69642,0.5019,0.73197,0.62627,0.69387,0.41848,0.94338,1.79776,0.98041,1.18623,0,0.00030606,0.00030606,0.00030606
69,680.859,0.55292,0.85628,0.38663,0.88891,0,0.76236,0.59571,0.65727,0.48357,0.76492,0.59801,0.66675,0.41306,0.94302,1.79493,1.02349,1.17879,0,0.000297061,0.000297061,0.000297061
70,690.322,0.5518,0.83621,0.38334,0.8856,0,0.74496,0.6456,0.68109,0.49308,0.73807,0.63572,0.67661,0.40698,0.92389,1.75642,0.98816,1.16947,0,0.000288062,0.000288062,0.000288062
71,700.574,0.56103,0.83341,0.38119,0.88735,0,0.76198,0.67268,0.70135,0.5114,0.7565,0.6746,0.70005,0.43172,0.91167,1.70567,0.93609,1.1538,0,0.000279063,0.000279063,0.000279063
