epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,148.647,1.5525,3.90624,1.35984,0.01824,0.24171,0.08511,0.04419,1.51347,3.97669,1.2774,0.00025452,0.00025452,0.00025452
2,296.668,1.36096,3.04568,1.21217,0.02988,0.42208,0.20394,0.119,1.4462,3.54388,1.25732,0.000515565,0.000515565,0.000515565
3,436.071,1.35188,2.27086,1.2025,0.69769,0.21758,0.28362,0.17287,1.5679,2.78022,1.38214,0.000774001,0.000774001,0.000774001
4,562.613,1.33375,1.84203,1.20608,0.69069,0.36273,0.36985,0.22386,1.50581,2.28157,1.38092,0.000895501,0.000895501,0.000895501
5,689.361,1.27558,1.66001,1.17851,0.45648,0.45946,0.40007,0.25243,1.38177,1.9623,1.33567,0.000891002,0.000891002,0.000891002
6,816.837,1.21212,1.51075,1.14525,0.71989,0.42545,0.45628,0.29278,1.34747,1.69304,1.30733,0.000886502,0.000886502,0.000886502
7,944.292,1.18987,1.39621,1.13208,0.66768,0.43587,0.48073,0.30278,1.37103,1.68865,1.32399,0.000882003,0.000882003,0.000882003
8,1073.63,1.16857,1.35658,1.12723,0.76306,0.45298,0.50281,0.33185,1.30096,1.54975,1.25119,0.000877503,0.000877503,0.000877503
9,1199.47,1.11564,1.29074,1.09857,0.72484,0.46841,0.51771,0.34853,1.23958,1.47123,1.23383,0.000873004,0.000873004,0.000873004
10,1327.38,1.0933,1.19669,1.0836,0.62037,0.45138,0.47222,0.32667,1.30033,1.73288,1.26354,0.000868504,0.000868504,0.000868504
11,1453.68,1.07942,1.19191,1.07294,0.7414,0.45625,0.51946,0.34382,1.26536,1.68503,1.22929,0.000864004,0.000864004,0.000864004
12,1579.59,1.09045,1.19392,1.08365,0.57921,0.51929,0.53524,0.33797,1.27247,1.57448,1.22349,0.000859505,0.000859505,0.000859505
13,1705.49,1.04864,1.15466,1.07543,0.59592,0.51466,0.54317,0.35415,1.24965,1.50931,1.2426,0.000855005,0.000855005,0.000855005
14,1833.26,1.05738,1.11032,1.05634,0.61683,0.54373,0.53973,0.36682,1.24789,1.56405,1.22485,0.000850506,0.000850506,0.000850506
15,1959.15,1.00459,1.04306,1.03484,0.59542,0.49846,0.51986,0.33789,1.30411,1.59858,1.26316,0.000846006,0.000846006,0.000846006
16,2086.06,1.00034,1.0359,1.03899,0.61085,0.50847,0.55527,0.37075,1.23709,1.3893,1.21587,0.000841507,0.000841507,0.000841507
17,2213.08,1.00097,1.02522,1.0343,0.5884,0.53897,0.58367,0.38291,1.23689,1.39004,1.21356,0.000837007,0.000837007,0.000837007
18,2340.03,0.96948,1.00309,1.02707,0.58888,0.51833,0.53969,0.36482,1.22845,1.49512,1.22047,0.000832508,0.000832508,0.000832508
19,2465.53,0.98698,0.99278,1.03058,0.59553,0.5265,0.5469,0.36573,1.20152,1.48623,1.20492,0.000828008,0.000828008,0.000828008
20,2591.98,0.96419,0.97924,1.02414,0.59375,0.53295,0.54963,0.36423,1.22784,1.47206,1.22154,0.000823509,0.000823509,0.000823509
21,2719.05,0.96192,0.96135,1.01968,0.64215,0.54332,0.5731,0.37148,1.22126,1.47937,1.21178,0.000819009,0.000819009,0.000819009
22,2846.24,0.94104,0.93771,1.01477,0.57221,0.57694,0.58631,0.39396,1.20592,1.32818,1.20479,0.000814509,0.000814509,0.000814509
23,2972.31,0.94924,0.91944,1.01408,0.56344,0.59375,0.58176,0.39103,1.19001,1.30821,1.20701,0.00081001,0.00081001,0.00081001
24,3099.96,0.93238,0.90228,1.00663,0.67489,0.52333,0.58494,0.3926,1.13837,1.3144,1.17482,0.00080551,0.00080551,0.00080551
25,3226.92,0.94038,0.91052,1.00935,0.59991,0.54919,0.61471,0.40943,1.1676,1.20243,1.17285,0.000801011,0.000801011,0.000801011
26,3353.07,0.91299,0.88669,1.00278,0.63308,0.64428,0.63532,0.42387,1.17945,1.25535,1.17814,0.000796511,0.000796511,0.000796511
27,3479.5,0.91821,0.87272,0.99781,0.72158,0.58047,0.62289,0.42188,1.16433,1.24915,1.16498,0.000792012,0.000792012,0.000792012
28,3607.47,0.93388,0.87847,0.99979,0.68279,0.52609,0.58572,0.39951,1.15369,1.31748,1.17006,0.000787512,0.000787512,0.000787512
29,3733,0.90828,0.87094,0.99584,0.59416,0.58153,0.6024,0.41662,1.15396,1.31624,1.15662,0.000783013,0.000783013,0.000783013
30,3859.98,0.90219,0.87656,0.9968,0.6767,0.55622,0.59094,0.40203,1.14611,1.37086,1.16302,0.000778513,0.000778513,0.000778513
31,3987.17,0.89134,0.85207,0.99037,0.6199,0.59776,0.62129,0.42339,1.11013,1.22789,1.15428,0.000774013,0.000774013,0.000774013
32,4113.37,0.87838,0.81286,0.98428,0.71815,0.6101,0.65623,0.45468,1.13674,1.17768,1.15963,0.000769514,0.000769514,0.000769514
33,4239.59,0.872,0.81245,0.9824,0.68494,0.5119,0.57945,0.40172,1.16639,1.4153,1.16851,0.000765014,0.000765014,0.000765014
